id,name,specialization,hospital,state,city,experience,rating,contact
118,Dr.Reshma Das,Orthopedics,Harmony Health Hub Orthopedics Center,Maharashtra,Pune,18,4.1,9452696395
119,Dr.Nidhi Sinha,Orthopedics,CureWell Multispecialty Orthopedics Center,Maharashtra,Pune,30,4.1,9439629408
120,Dr.Sanjay Menon,Orthopedics,Vidyasagar Hospital Orthopedics Center,Maharashtra,Pune,23,4.2,9415113649
121,Dr.Ravi Choudhary,Dentistry,Ayushman Super Specialty Dentistry Center,Maharashtra,Pune,24,4.7,9315965906
122,Dr.Priya Malhotra,Dentistry,Apollo MedCenter Dentistry Center,Maharashtra,Pune,29,4.1,9193855275
123,Dr.Tanvi Malhotra,Dentistry,Global Life Hospital Dentistry Center,Maharashtra,Pune,20,4.2,9617925581
124,Dr.Reshma Tiwari,Gynecology,Medicover Clinic Gynecology Center,Maharashtra,Pune,20,4.7,9968104613
125,Dr.Kriti Pillai,Gynecology,Harmony Health Hub Gynecology Center,Maharashtra,Pune,23,4.9,9108808304
126,Dr.Bhavna Choudhary,Gynecology,Fortis Healthcare Gynecology Center,Maharashtra,Pune,28,3.6,9661060425
127,Dr.Dev Chauhan,Ophthalmology,Care Plus Hospital Ophthalmology Center,Maharashtra,Pune,10,3.9,9512100934
128,Dr.Vikram Nair,Ophthalmology,Apollo MedCenter Ophthalmology Center,Maharashtra,Pune,11,4.9,9022780280
129,Dr.Ritu Gill,Ophthalmology,Healing Touch Hospital Ophthalmology Center,Maharashtra,Pune,29,3.9,9757937479
130,Dr.Sanjay Sinha,Addiction Medicine,Global Life Hospital Addiction Medicine Center,Maharashtra,Pune,6,4.7,9181162193
131,Dr.Raj Naidu,Addiction Medicine,Sanjeevani Hospital Addiction Medicine Center,Maharashtra,Pune,6,3.8,9003998097
132,Dr.Vinay Sharma,Addiction Medicine,Global Life Hospital Addiction Medicine Center,Maharashtra,Pune,20,4.0,9298103695
133,Dr.Ritu Sinha,Cardiology,CityCare Hospital Cardiology Center,Delhi,Delhi,27,3.7,9928328750
134,Dr.Yash Singh,Cardiology,Fortis Healthcare Cardiology Center,Delhi,Delhi,27,3.4,9699330239
135,Dr.Swati Singh,Cardiology,Apollo MedCenter Cardiology Center,Delhi,Delhi,4,5.0,9834571920
136,Dr.Suresh Singh,Infectious Disease,Harmony Health Hub Infectious Disease Center,Delhi,Delhi,12,4.6,9558930475
137,Dr.Dev Tripathi,Infectious Disease,Apollo MedCenter Infectious Disease Center,Delhi,Delhi,29,4.5,9482198646
138,Dr.Anjali Mehta,Infectious Disease,Apollo MedCenter Infectious Disease Center,Delhi,Delhi,18,4.2,9753120821
139,Dr.Raj Mohanty,Endocrinology,Apollo MedCenter Endocrinology Center,Delhi,Delhi,6,4.3,9871139348
140,Dr.Dev Bhandari,Endocrinology,CureWell Multispecialty Endocrinology Center,Delhi,Delhi,17,4.0,9067103450
141,Dr.Sneha Roy,Endocrinology,CityCare Hospital Endocrinology Center,Delhi,Delhi,25,3.6,9968984406
142,Dr.Rohit Jain,Psychiatry,Divine Heart Hospital Psychiatry Center,Delhi,Delhi,26,4.8,9789253490
143,Dr.Isha Menon,Psychiatry,Harmony Health Hub Psychiatry Center,Delhi,Delhi,13,4.8,9883122962
144,Dr.Reshma Patel,Psychiatry,Medicover Clinic Psychiatry Center,Delhi,Delhi,16,3.4,9667706686
145,Dr.Bhavna Menon,Pulmonology,Sri Ram Medical Center Pulmonology Center,Delhi,Delhi,12,4.3,9596889922
146,Dr.Lakshmi Jain,Pulmonology,Shanti Wellness Hospital Pulmonology Center,Delhi,Delhi,10,5.0,9456695591
147,Dr.Vinay Patel,Pulmonology,Medicover Clinic Pulmonology Center,Delhi,Delhi,23,3.8,9481746409
148,Dr.Meera Nair,Neurology,CityCare Hospital Neurology Center,Delhi,Delhi,23,3.9,9047371761
149,Dr.Ritu Saxena,Neurology,Medicover Clinic Neurology Center,Delhi,Delhi,8,5.0,9885014690
150,Dr.Harsha Menon,Neurology,Apollo MedCenter Neurology Center,Delhi,Delhi,6,3.7,9507930153
151,Dr.Priya Mishra,General Medicine,Narayana Health General Medicine Center,Delhi,Delhi,11,5.0,9500125206
152,Dr.Kavita Mehta,General Medicine,Ayushman Super Specialty General Medicine Center,Delhi,Delhi,9,3.7,9852262816
153,Dr.Deepika Chauhan,General Medicine,Healing Touch Hospital General Medicine Center,Delhi,Delhi,12,3.6,9595682905
154,Dr.Ritu Das,Urology,Ayushman Super Specialty Urology Center,Delhi,Delhi,13,3.7,9786729660
155,Dr.Aditya Pillai,Urology,Sunrise Multispeciality Urology Center,Delhi,Delhi,12,4.8,9215542009
156,Dr.Geeta Desai,Urology,Shanti Wellness Hospital Urology Center,Delhi,Delhi,16,4.8,9484806117
157,Dr.Gaurav Patel,Hematology,Sri Ram Medical Center Hematology Center,Delhi,Delhi,20,3.5,9398573583
158,Dr.Sneha Bhattacharya,Hematology,CityCare Hospital Hematology Center,Delhi,Delhi,26,4.5,9541898209
159,Dr.Ravi Gupta,Hematology,Shanti Wellness Hospital Hematology Center,Delhi,Delhi,23,4.7,9798056473
160,Dr.Rohit Verma,Nephrology,Om Shree Hospital Nephrology Center,Delhi,Delhi,13,4.3,9872469564
161,Dr.Sneha Das,Nephrology,Sanjeevani Hospital Nephrology Center,Delhi,Delhi,21,4.7,9319127408
162,Dr.Aditya Dwivedi,Nephrology,Apollo MedCenter Nephrology Center,Delhi,Delhi,17,3.0,9911515502
163,Dr.Yash Pillai,Rheumatology,Sanjeevani Hospital Rheumatology Center,Delhi,Delhi,10,3.4,9324748564
164,Dr.Isha Roy,Rheumatology,Sanjeevani Hospital Rheumatology Center,Delhi,Delhi,14,3.4,9000622064
165,Dr.Kavita Chauhan,Rheumatology,Divine Heart Hospital Rheumatology Center,Delhi,Delhi,5,4.7,9338477568
166,Dr.Anil Tripathi,Oncology,Narayana Health Oncology Center,Delhi,Delhi,18,4.3,9369646849
167,Dr.Kavita Sharma,Oncology,Ayushman Super Specialty Oncology Center,Delhi,Delhi,11,4.4,9071003107
168,Dr.Nidhi Roy,Oncology,Shanti Wellness Hospital Oncology Center,Delhi,Delhi,10,4.9,9610655905
169,Dr.Priya Agarwal,Dermatology,Sanjeevani Hospital Dermatology Center,Delhi,Delhi,19,4.7,9995141922
170,Dr.Dev Singh,Dermatology,Ayushman Super Specialty Dermatology Center,Delhi,Delhi,23,3.9,9104791199
171,Dr.Yash Pillai,Dermatology,Harmony Health Hub Dermatology Center,Delhi,Delhi,30,4.4,9176677451
172,Dr.Rohit Dutta,Gastroenterology,Prime Medicare Hospital Gastroenterology Center,Delhi,Delhi,23,4.5,9907144875
173,Dr.Pooja Bhattacharya,Gastroenterology,Medicover Clinic Gastroenterology Center,Delhi,Delhi,12,4.8,9180361294
174,Dr.Harsha Verma,Gastroenterology,Prime Medicare Hospital Gastroenterology Center,Delhi,Delhi,21,3.7,9296564860
175,Dr.Raj Rastogi,Hepatology,Apollo MedCenter Hepatology Center,Delhi,Delhi,11,3.4,9992194184
176,Dr.Harsha Gupta,Hepatology,Sri Ram Medical Center Hepatology Center,Delhi,Delhi,6,3.1,9151304935
177,Dr.Tanvi Rastogi,Hepatology,CureWell Multispecialty Hepatology Center,Delhi,Delhi,18,3.3,9264689903
178,Dr.Preeti Mehta,Vascular Surgery,CureWell Multispecialty Vascular Surgery Center,Delhi,Delhi,21,3.6,9427942392
179,Dr.Reshma Chatterjee,Vascular Surgery,CureWell Multispecialty Vascular Surgery Center,Delhi,Delhi,27,3.4,9784474049
180,Dr.Ritu Kapoor,Vascular Surgery,CureWell Multispecialty Vascular Surgery Center,Delhi,Delhi,6,4.8,9881514319
181,Dr.Tanvi Mishra,General Surgery,Prime Medicare Hospital General Surgery Center,Delhi,Delhi,12,4.5,9895740713
182,Dr.Bhavna Patel,General Surgery,Sri Ram Medical Center General Surgery Center,Delhi,Delhi,17,3.5,9974354635
183,Dr.Sakshi Gill,General Surgery,CityCare Hospital General Surgery Center,Delhi,Delhi,16,4.2,9842859526
184,Dr.Sanjay Desai,Orthopedics,Sri Ram Medical Center Orthopedics Center,Delhi,Delhi,4,4.7,9279571058
185,Dr.Pooja Shetty,Orthopedics,Shanti Wellness Hospital Orthopedics Center,Delhi,Delhi,29,4.7,9907227308
186,Dr.Geeta Bhattacharya,Orthopedics,Shanti Wellness Hospital Orthopedics Center,Delhi,Delhi,13,4.6,9328248019
187,Dr.Gaurav Sharma,Dentistry,Apollo MedCenter Dentistry Center,Delhi,Delhi,8,3.3,9344426687
188,Dr.Sneha Verma,Dentistry,Vidyasagar Hospital Dentistry Center,Delhi,Delhi,22,3.8,9336331520
189,Dr.Deepika Pandey,Dentistry,Om Shree Hospital Dentistry Center,Delhi,Delhi,22,4.3,9316097917
190,Dr.Kriti Jain,Gynecology,Care Plus Hospital Gynecology Center,Delhi,Delhi,20,3.9,9005941276
191,Dr.Meera Desai,Gynecology,Harmony Health Hub Gynecology Center,Delhi,Delhi,9,3.8,9493147226
192,Dr.Nikhil Malhotra,Gynecology,Prime Medicare Hospital Gynecology Center,Delhi,Delhi,23,3.7,9499441809
193,Dr.Suresh Rastogi,Ophthalmology,Apollo MedCenter Ophthalmology Center,Delhi,Delhi,6,4.9,9247559201
194,Dr.Deepika Shetty,Ophthalmology,Lotus Health Institute Ophthalmology Center,Delhi,Delhi,15,3.7,9939204250
195,Dr.Kriti Mehta,Ophthalmology,Global Life Hospital Ophthalmology Center,Delhi,Delhi,9,4.8,9316764502
196,Dr.Preeti Chauhan,Addiction Medicine,Narayana Health Addiction Medicine Center,Delhi,Delhi,10,4.8,9899645118
197,Dr.Yash Kulkarni,Addiction Medicine,Divine Heart Hospital Addiction Medicine Center,Delhi,Delhi,17,3.2,9319304821
198,Dr.Anil Dutta,Addiction Medicine,Fortis Healthcare Addiction Medicine Center,Delhi,Delhi,15,3.2,9376551663
199,Dr.Nikhil Jain,Cardiology,Harmony Health Hub Cardiology Center,Karnataka,Bengaluru,13,4.2,9303840969
200,Dr.Isha Dwivedi,Cardiology,Lotus Health Institute Cardiology Center,Karnataka,Bengaluru,4,4.0,9816966406
201,Dr.Nidhi Shetty,Cardiology,CureWell Multispecialty Cardiology Center,Karnataka,Bengaluru,17,3.4,9216505042
202,Dr.Raj Naidu,Infectious Disease,CureWell Multispecialty Infectious Disease Center,Karnataka,Bengaluru,23,3.4,9797472836
203,Dr.Nidhi Kulkarni,Infectious Disease,Harmony Health Hub Infectious Disease Center,Karnataka,Bengaluru,15,4.1,9913789829
204,Dr.Harsha Rastogi,Infectious Disease,Shanti Wellness Hospital Infectious Disease Center,Karnataka,Bengaluru,20,4.4,9566754453
205,Dr.Lakshmi Tiwari,Endocrinology,Divine Heart Hospital Endocrinology Center,Karnataka,Bengaluru,23,3.8,9503630255
206,Dr.Priya Kulkarni,Endocrinology,Harmony Health Hub Endocrinology Center,Karnataka,Bengaluru,4,4.9,9263137289
207,Dr.Preeti Verma,Endocrinology,Medicover Clinic Endocrinology Center,Karnataka,Bengaluru,11,4.6,9080682936
208,Dr.Dev Menon,Psychiatry,Sanjeevani Hospital Psychiatry Center,Karnataka,Bengaluru,25,3.8,9037874702
209,Dr.Nikhil Singh,Psychiatry,Ayushman Super Specialty Psychiatry Center,Karnataka,Bengaluru,15,3.4,9081757637
210,Dr.Karan Patel,Psychiatry,CureWell Multispecialty Psychiatry Center,Karnataka,Bengaluru,24,3.4,9782492958
211,Dr.Karan Desai,Pulmonology,Healing Touch Hospital Pulmonology Center,Karnataka,Bengaluru,11,4.8,9700754826
212,Dr.Kriti Joshi,Pulmonology,Healing Touch Hospital Pulmonology Center,Karnataka,Bengaluru,6,3.4,9790495368
213,Dr.Aditya Joshi,Pulmonology,Sri Ram Medical Center Pulmonology Center,Karnataka,Bengaluru,20,3.2,9415992928
214,Dr.Sanjay Pandey,Neurology,Lotus Health Institute Neurology Center,Karnataka,Bengaluru,12,4.5,9678597430
215,Dr.Priya Patel,Neurology,CureWell Multispecialty Neurology Center,Karnataka,Bengaluru,5,4.4,9299122696
216,Dr.Kriti Mishra,Neurology,Om Shree Hospital Neurology Center,Karnataka,Bengaluru,27,4.1,9821007134
217,Dr.Sneha Tiwari,General Medicine,Care Plus Hospital General Medicine Center,Karnataka,Bengaluru,28,4.0,9665704714
218,Dr.Rahul Kulkarni,General Medicine,Sri Ram Medical Center General Medicine Center,Karnataka,Bengaluru,12,4.7,9921830591
219,Dr.Manoj Shetty,General Medicine,Om Shree Hospital General Medicine Center,Karnataka,Bengaluru,28,4.4,9824924745
220,Dr.Lakshmi Desai,Urology,Sanjeevani Hospital Urology Center,Karnataka,Bengaluru,21,3.8,9934394527
221,Dr.Geeta Mishra,Urology,Sunrise Multispeciality Urology Center,Karnataka,Bengaluru,25,4.3,9198115284
222,Dr.Rohit Mehta,Urology,Care Plus Hospital Urology Center,Karnataka,Bengaluru,7,3.5,9482015189
223,Dr.Harsha Gill,Hematology,CityCare Hospital Hematology Center,Karnataka,Bengaluru,20,3.2,9931682021
